from_id,to_id,amount,date
A建材,张卫国配偶,1700000.0,2021-11-15
宏业建设,A建材,4600000.0,2021-10-01
张卫国,现金存入,100000.0,2019-06-25
张卫国,现金存入,100000.0,2020-03-30
张卫国,现金存入,100000.0,2020-11-28
张卫国,现金存入,100000.0,2021-09-12
张卫国,现金存入,100000.0,2022-04-28
张卫国,现金存入,100000.0,2022-12-18
张卫国,现金存入,100000.0,2023-08-22
张卫国,财政局,18533.0,2019-01-05
张卫国,财政局,18533.0,2020-01-05
张卫国,财政局,18533.0,2021-01-05
张卫国,财政局,18533.0,2022-01-05
张卫国,财政局,18533.0,2023-01-05
张卫国,财政局,18536.0,2019-04-05
张卫国,财政局,18536.0,2020-04-05
张卫国,财政局,18536.0,2021-04-05
张卫国,财政局,18536.0,2022-04-05
张卫国,财政局,18536.0,2023-04-05
张卫国,财政局,18539.0,2019-07-05
张卫国,财政局,18539.0,2020-07-05
张卫国,财政局,18539.0,2021-07-05
张卫国,财政局,18539.0,2022-07-05
张卫国,财政局,18539.0,2023-07-05
张卫国,财政局,18542.0,2019-10-05
张卫国,财政局,18542.0,2020-10-05
张卫国,财政局,18542.0,2021-10-05
张卫国,财政局,18542.0,2022-10-05
张卫国,财政局,18542.0,2023-10-05
